Order ID,Order Date,Customer Name,Region,Product,Category,Sales,Quantity,Discount,Profit
pt-1200-874280,2022-12-17,Kelly Leon MD,West,Paper,Office Supplies,,4,0.11,0.0
Qf-3039-357982,2024-10-22,,Central,Bookcase,Furniture,634.84,1,0.45,265.59
Qv-4924-022938,2023-11-05,Peter Williams,Central,Monitor,Technology,431.02,2,0.37,183.26
Im-0971-808648,2023-12-23,Anthony Johnson,South,Printer,Technology,795.56,2,0.36,210.89
dd-6062-790842,2020-11-10,Daniel Bass,West,Table,Furniture,39.43,2,0.17,17.13
PI-3956-365810,2023-01-07,Sandra Edwards,West,Label,Office Supplies,1563.24,6,0.34,86.69
ha-8418-219116,2023-10-02,David Reid,West,Bookcase,Furniture,618.21,1,0.25,-37.76
nn-1621-156501,2022-12-14,Stephanie Peck,Central,Bookcase,Furniture,107.6,8,0.47,-25.85
Jb-2181-388327,2022-04-22,Heidi Hammond,East,Printer,Technology,,6,0.39,0.0
hP-5117-891873,2021-06-10,Anthony Carroll,South,Phone,Technology,1130.85,8,0.29,349.88
zw-0696-430182,2022-04-14,Jeffrey Sutton,West,Phone,Technology,,6,,0.0
bx-8247-651191,2024-03-26,Madeline Bentley,Central,Desk,Furniture,1252.07,7,0.23,-144.98
Lh-1021-844615,2022-04-15,Kathleen Davis,East,Monitor,Technology,902.14,10,0.44,-115.96
xy-2595-139621,2021-08-06,Brandi Adams,East,Phone,Technology,,8,0.2,0.0
pC-4029-869527,2020-09-18,Johnny Grant,West,Label,Office Supplies,1849.57,10,0.14,838.5
Ag-0704-085111,2025-01-29,Christina Hernandez,West,Bookcase,Furniture,789.62,3,0.01,196.87
HC-4141-184098,2023-12-05,Ryan Thompson,East,Laptop,Technology,1634.43,2,0.39,514.89
nB-8806-566906,2020-11-25,Stacy Wilson,Central,Chair,Furniture,314.8,2,0.15,136.36
vq-0060-347754,2023-08-13,Tyrone Moore,South,Pen,Office Supplies,826.33,5,0.08,251.61
ls-5055-958956,2022-08-22,Dean Barnes,West,Pen,Office Supplies,649.16,9,0.11,-147.93
wS-1755-745364,2020-08-27,Mark Black,Central,Label,Office Supplies,1887.8,10,0.09,243.67
tQ-8042-569744,2025-01-14,Reginald Baldwin,West,Paper,Office Supplies,1561.22,2,0.08,-128.5
Iq-0350-401348,2023-10-28,Vanessa Sloan,Central,Monitor,Technology,1998.36,5,0.48,-31.21
Jw-2412-232586,2021-07-20,Jerome Harrison,East,Chair,Furniture,1299.48,8,0.44,452.64
wL-7026-383092,2024-01-08,Richard Munoz,West,Desk,Furniture,1685.11,7,0.0,439.09
pt-7805-611568,2024-03-28,Danielle Gonzalez,East,Stapler,Office Supplies,1263.09,4,0.17,88.71
dI-5602-445817,2024-12-15,Gina Jones,Central,Monitor,Technology,1633.95,2,0.4,169.84
xA-8747-647822,2022-03-19,Allison Parker,West,Bookcase,Furniture,1839.63,3,0.46,-121.71
Bn-5824-237381,2024-05-13,Brandon Meza,South,Paper,Office Supplies,1207.99,9,,71.44
XM-3617-808623,2020-12-30,Jacqueline Kennedy,East,Pen,Office Supplies,361.6,8,0.38,-8.3
af-3065-707495,2020-09-25,Robert Watson,East,Table,Furniture,1023.4,6,0.29,190.86
Az-9577-254394,2021-06-02,Ricky Pacheco,West,Chair,Furniture,1263.88,6,0.02,376.81
Gw-4092-401322,2023-06-19,,South,Chair,Furniture,832.11,6,,-159.38
ca-2301-780411,2021-02-19,Linda Williams,West,Laptop,Technology,1785.47,7,0.02,-517.42
Nl-7373-880940,2025-03-20,Mark Fuller,East,Monitor,Technology,1016.95,10,0.06,-154.43
mr-0390-925301,2023-03-03,Steven Rangel,South,Table,Furniture,1534.77,2,0.06,152.85
zn-6809-555118,2022-02-26,Casey Cohen,South,Chair,Furniture,1481.91,1,0.3,-280.22
ZT-0264-439196,2025-04-08,Gary Pope,South,Monitor,Technology,10.98,8,0.17,3.94
SF-0453-596742,2024-06-05,Julian White,South,Phone,Technology,1301.71,7,0.17,29.69
lr-2731-951034,2024-04-25,Sarah Farmer,West,Stapler,Office Supplies,882.23,8,0.11,376.7
Di-6766-805880,2022-04-18,Vincent Steele,South,Desk,Furniture,381.87,5,,4.64
Mn-8938-291857,2020-06-12,Juan Williams,South,Table,Furniture,,2,0.2,0.0
ha-5516-919797,2021-02-23,Adam Russell,Central,Stapler,Office Supplies,1216.28,10,0.42,313.38
JW-4337-319073,2023-04-12,Christopher Roberts,Central,Paper,Office Supplies,1734.2,3,0.06,-124.99
bn-9547-829017,2022-04-07,Stephanie Chavez,Central,Phone,Technology,1448.43,10,0.08,153.17
cr-8037-000310,2020-11-10,Ronald Mcgrath,Central,Desk,Furniture,128.69,4,0.48,56.99
VY-0774-046604,2021-08-18,,South,Bookcase,Furniture,,2,,0.0
jD-4343-797426,2025-04-07,Evelyn Brown,East,Paper,Office Supplies,888.02,2,0.29,140.34
Fb-7929-800792,2021-12-06,Michael Andrews,Central,Desk,Furniture,1092.58,1,0.1,67.86
RC-1982-407656,2024-05-20,Doris Young,West,Phone,Technology,1110.29,7,0.32,13.42
TO-5800-387789,2020-05-13,Daniel Perkins,South,Chair,Furniture,265.79,3,0.16,55.88
jb-0465-416233,2022-03-14,Alexa Turner,South,Chair,Furniture,1248.71,4,0.04,-205.19
kv-9489-905839,2024-10-20,Steve Munoz,East,Bookcase,Furniture,,10,0.36,0.0
rq-1570-590848,2020-05-10,Alyssa Wright,East,Table,Furniture,345.45,10,0.45,88.55
AE-4142-239048,2024-09-21,Dennis Robertson,West,Label,Office Supplies,1244.48,1,0.17,230.7
jc-2684-089096,2021-03-04,Eduardo Harris DDS,East,Laptop,Technology,303.16,1,0.43,98.81
Kp-4562-404221,2020-10-19,Erica Smith,South,Label,Office Supplies,464.8,9,0.33,184.89
ZK-1047-412229,2021-01-10,,South,Pen,Office Supplies,568.37,7,,-101.52
ta-2075-788781,2024-09-04,Valerie Cuevas,East,Phone,Technology,1291.6,5,0.17,-17.6
HN-6202-736436,2020-11-26,Shannon Murray,Central,Monitor,Technology,160.55,5,0.17,-40.97
jk-7804-752747,2021-05-31,Maurice Myers,Central,Printer,Technology,260.2,9,0.43,25.68
TY-9894-899275,2023-01-20,Steven Murray,South,Stapler,Office Supplies,1853.55,9,0.17,281.35
TQ-5080-301700,2020-05-07,Diane Lewis,Central,Desk,Furniture,191.89,6,0.05,44.78
hZ-8396-147554,2024-11-25,Dana Martinez DVM,South,Monitor,Technology,1142.82,4,,-8.5
Sy-0685-104292,2021-09-08,Jamie Clark,South,Table,Furniture,407.0,2,0.2,176.78
TU-0147-868521,2020-08-24,Nicole Weiss,East,Bookcase,Furniture,1684.63,1,0.05,208.26
zD-5992-356276,2022-10-13,Susan Vasquez,Central,Bookcase,Furniture,191.29,5,0.03,-7.22
Qu-6640-366576,2021-05-10,Catherine Garcia,South,Table,Furniture,651.39,9,0.06,-3.82
DZ-7969-357814,2022-04-07,Timothy Rivas,South,Bookcase,Furniture,1857.8,1,0.36,183.18
Tu-0075-347113,2024-06-28,Dawn Ryan,East,Stapler,Office Supplies,948.73,4,0.17,373.73
lZ-8187-191755,2022-04-07,Jeffrey Wilson,Central,Bookcase,Furniture,677.28,9,0.29,-17.95
Ye-2766-077918,2023-10-19,Cole Morgan,West,Phone,Technology,1494.65,1,,49.15
xh-3308-396179,2022-03-27,Christopher Garcia,South,Stapler,Office Supplies,1262.17,9,,266.86
yr-1585-004061,2021-10-26,,West,Label,Office Supplies,543.7,7,0.13,-156.76
Cj-1332-333215,2024-11-15,Edward Poole,West,Pen,Office Supplies,169.31,5,0.12,3.68
Ja-6643-294546,2020-11-21,Christian Davis,Central,Table,Furniture,987.93,5,,-200.74
xd-5572-175637,2023-04-05,Thomas Morris,South,Label,Office Supplies,695.79,3,0.23,-103.69
ol-4163-588709,2020-11-13,Debra Nielsen,Central,Monitor,Technology,361.98,3,0.28,14.33
eU-2414-493874,2020-08-16,Courtney Baker,West,Table,Furniture,1173.83,1,0.43,51.1
tD-1820-762716,2022-02-18,Wendy Burns,Central,Desk,Furniture,309.55,4,0.46,-76.06
Gt-2570-483022,2021-02-13,Scott Wilson,East,Table,Furniture,,2,0.46,0.0
ox-9634-373151,2021-08-24,Chad Bennett,West,Phone,Technology,56.96,4,0.15,8.49
Bi-6711-824985,2024-12-31,Karen Leonard,South,Desk,Furniture,1557.61,9,0.45,253.63
nT-7576-399252,2020-09-04,Thomas Hunt,South,Stapler,Office Supplies,999.68,9,0.0,-80.92
wM-5359-848207,2022-11-01,Sean Davis,East,Pen,Office Supplies,1957.25,1,,-64.61
CI-5934-258562,2021-06-05,Kimberly Fischer,East,Monitor,Technology,142.55,1,0.49,41.05
oL-0704-989802,2022-03-24,David White,East,Paper,Office Supplies,1448.58,2,0.06,348.91
XD-6743-756173,2020-05-12,Juan Bailey,South,Printer,Technology,1236.62,3,0.44,315.6
go-5449-249881,2020-12-14,Madison Sanders,East,Chair,Furniture,1226.98,2,0.43,468.12
jB-6265-706402,2024-04-30,Micheal Smith,Central,Laptop,Technology,824.79,5,0.35,295.33
Bg-8143-489704,2022-04-27,Ethan Smith,West,Phone,Technology,1496.07,10,0.1,336.62
Eg-2413-649592,2023-01-23,Carolyn Owens DDS,South,Stapler,Office Supplies,1100.24,5,0.17,148.41
iT-7734-894153,2021-03-05,Stephen Perez,East,Paper,Office Supplies,1810.97,4,0.41,-120.88
Qx-2503-000333,2021-05-29,Connie Smith,Central,Laptop,Technology,1103.98,4,0.38,-203.89
xC-9791-530474,2024-07-05,Mary Kelley,Central,Monitor,Technology,1158.04,7,0.43,30.03
nh-5527-176378,2023-08-27,Madeline Vasquez,Central,Stapler,Office Supplies,1746.37,9,0.01,-416.37
Rr-7319-033023,2024-10-30,Patricia Thompson,Central,Stapler,Office Supplies,710.81,4,,344.66
ab-9489-650760,2022-03-18,Courtney Hendricks,East,Pen,Office Supplies,646.78,10,0.03,245.58
AR-3029-498662,2022-11-15,Dr. Kenneth Brown Jr.,East,Paper,Office Supplies,163.86,7,0.11,59.19
JB-7870-770570,2020-11-08,Melissa Davis,East,Chair,Furniture,416.56,9,0.08,-110.03
zY-8128-226517,2024-03-04,Jeffrey Hood,South,Stapler,Office Supplies,515.72,10,0.48,-39.28
cI-7042-750072,2025-03-10,Kevin Powers,West,Printer,Technology,139.94,9,0.16,-36.32
Ls-8753-394589,2024-08-06,Mary Smith,South,Stapler,Office Supplies,332.6,1,0.0,-46.71
vy-7053-829378,2024-10-01,Anthony Melton,East,Table,Furniture,77.88,6,0.45,13.56
cP-0930-263214,2022-01-22,Jared Palmer,Central,Chair,Furniture,1638.29,2,0.11,-297.63
Ky-2368-990611,2022-08-16,Ashley King,Central,Bookcase,Furniture,735.88,3,0.48,187.64
zP-0000-107530,2024-02-25,Rebecca Yates,Central,Pen,Office Supplies,1179.63,1,0.33,422.07
Uy-4708-618203,2021-03-20,Charles Rojas,South,Pen,Office Supplies,258.32,4,0.28,-48.16
GD-1926-886128,2023-03-12,Mr. Donald Flores,East,Paper,Office Supplies,1609.98,8,0.3,-300.35
iS-4866-024333,2025-04-16,Allen Rice,West,Bookcase,Furniture,537.77,1,0.16,75.86
pQ-0744-081554,2025-01-01,Rebecca Flores,Central,Phone,Technology,1414.07,4,0.13,647.43
HE-2690-086981,2022-04-12,Miranda Edwards,South,Stapler,Office Supplies,1393.68,3,0.41,-390.63
Wk-2229-197621,2024-01-05,Tony Randolph,South,Printer,Technology,1327.22,2,0.32,-379.29
Sl-0110-112657,2021-07-03,Gary Pruitt,West,Printer,Technology,138.09,8,0.22,38.85
Mb-2537-344644,2024-05-17,,West,Printer,Technology,522.0,2,0.35,-51.23
qi-1573-374137,2022-03-05,Tamara Riddle,South,Desk,Furniture,115.17,4,0.17,38.39
al-8347-965326,2021-06-20,Robert Klein,East,Printer,Technology,1424.64,10,0.41,208.75
gk-3387-848687,2024-01-16,Megan Webb,South,Laptop,Technology,421.17,9,0.36,40.53
dk-1493-996206,2022-09-09,Ann Dennis,Central,Label,Office Supplies,1080.88,3,0.42,48.45
ht-7999-297724,2023-03-06,Mark Dougherty,South,Table,Furniture,898.78,4,,113.51
Xe-6801-796010,2023-07-08,Mary Solis,South,Table,Furniture,1194.39,3,0.48,-200.62
Vj-2131-517819,2022-12-13,Jonathan Schroeder,South,Laptop,Technology,1372.11,2,0.37,-192.91
pR-5238-318684,2022-06-29,Chad Nunez,West,Bookcase,Furniture,1467.18,7,0.11,313.45
Uh-9966-771142,2022-07-14,Douglas Baldwin,Central,Chair,Furniture,1234.2,2,0.3,427.94
fx-1871-115078,2023-03-02,Rachel Martinez,West,Stapler,Office Supplies,1092.38,4,0.46,-25.68
HO-6381-237251,2022-04-21,Thomas Weiss,East,Monitor,Technology,253.34,2,0.01,68.31
Ri-6893-022397,2021-11-26,Benjamin Rivera,South,Chair,Furniture,389.17,5,0.08,-97.41
hp-1040-225934,2025-03-31,Jennifer Lee,West,Stapler,Office Supplies,992.0,8,0.14,419.45
MM-4434-585914,2023-05-20,Kelsey Hill,East,Monitor,Technology,535.91,8,0.33,104.88
kz-6230-843165,2021-04-08,Angela Vance,Central,Label,Office Supplies,135.24,5,0.5,44.37
Fj-5766-208072,2021-04-02,Evan Ramos,Central,Monitor,Technology,560.07,2,0.19,183.55
Hj-7250-678908,2024-06-29,Marie Hutchinson,South,Laptop,Technology,390.66,2,,23.47
iO-4662-304708,2025-03-09,David Lewis,East,Table,Furniture,1579.39,5,0.22,595.48
ra-4001-442120,2021-08-09,Matthew Harvey,Central,Chair,Furniture,795.93,10,0.17,-25.5
de-9017-107026,2024-12-08,Cody King,West,Pen,Office Supplies,1747.87,6,,793.82
YH-5323-039405,2021-03-28,Cathy Howard,Central,Desk,Furniture,764.43,3,0.19,222.87
EQ-4085-290648,2021-12-27,Lydia Carter,South,Laptop,Technology,1619.88,10,0.43,68.39
QJ-7000-925724,2021-01-10,David Gonzalez,Central,Table,Furniture,786.12,6,0.31,156.3
uT-8022-794967,2021-07-23,Melissa Obrien,Central,Desk,Furniture,1312.09,9,0.34,-368.62
fq-4500-427859,2022-06-14,Aaron Greer,South,Table,Furniture,1891.55,5,0.41,-458.7
gQ-6775-673843,2023-11-21,Daniel Brown,Central,Stapler,Office Supplies,1286.61,1,,-326.95
YS-4094-248429,2020-11-29,Jose Shelton,East,Printer,Technology,1504.82,5,,-204.05
ae-6536-654495,2022-02-03,John Mata,East,Desk,Furniture,1242.52,3,0.13,82.33
Xr-7106-847749,2024-06-20,Madison Carlson DDS,West,Paper,Office Supplies,906.99,6,0.28,-98.78
lS-2846-466456,2021-03-24,Michelle Collins,South,Paper,Office Supplies,726.84,1,0.08,244.48
xC-5043-685844,2021-08-01,Ashley Stevens,Central,Pen,Office Supplies,1871.28,3,0.08,313.56
ii-5772-795427,2024-06-18,Donald Floyd,South,Desk,Furniture,464.72,5,0.04,-83.12
mF-1278-250831,2022-12-16,Mary Hernandez,Central,Stapler,Office Supplies,507.83,4,0.33,-105.55
QG-4973-099633,2021-01-01,Michelle Morgan,West,Stapler,Office Supplies,1966.24,8,0.26,863.07
NA-5817-429065,2023-03-09,Robert Wade,East,Pen,Office Supplies,810.73,7,0.45,-239.7
Fm-4835-897342,2021-06-05,,West,Desk,Furniture,1096.97,8,0.15,0.81
lx-8866-650371,2024-12-04,,East,Desk,Furniture,1157.81,3,0.19,425.93
vX-5389-825345,2022-09-30,Wayne Wells,West,Phone,Technology,693.92,9,,-8.63
dI-6018-554717,2022-07-31,Vincent Baker,Central,Chair,Furniture,51.91,2,,20.93
uq-9755-232091,2021-10-29,Jennifer Goodwin,Central,Phone,Technology,1914.03,8,0.04,84.62
gm-9670-256786,2020-10-06,Parker Hutchinson,South,Monitor,Technology,1187.4,5,0.18,319.68
oC-6484-331173,2025-01-28,Amanda Kennedy,East,Pen,Office Supplies,1521.99,2,0.05,-273.57
WX-8193-028928,2020-05-13,Ashley Patel,Central,Pen,Office Supplies,555.03,7,0.45,19.34
Hi-5174-887341,2021-11-14,Kristin Khan,Central,Table,Furniture,1361.17,1,0.15,88.01
qb-8435-712263,2024-03-10,Dr. Benjamin Boone,Central,Laptop,Technology,998.78,3,0.23,184.91
vX-1233-393928,2024-07-09,Christian Harris,South,Monitor,Technology,895.72,5,0.11,380.99
Xy-9488-899875,2023-05-01,Robyn Davis,Central,Phone,Technology,712.93,8,0.42,-119.85
cW-2248-589618,2024-12-03,Marvin Holmes,East,Table,Furniture,,8,0.07,0.0
PL-6168-758107,2024-09-18,Regina Perez,South,Table,Furniture,964.65,2,,324.4
TM-2467-200343,2024-02-15,John Rodriguez,East,Label,Office Supplies,618.99,8,0.25,53.56
Kp-6260-730359,2022-04-22,,East,Laptop,Technology,1109.36,3,0.31,527.3
Jy-4317-068850,2024-12-23,Anthony Evans,South,Monitor,Technology,881.57,6,,419.15
yo-6417-059198,2020-11-01,Sarah Johnson,East,Table,Furniture,131.33,9,0.27,-12.69
ns-7097-078958,2022-06-27,,Central,Phone,Technology,,4,,0.0
aG-7942-258088,2024-12-03,Mr. Glenn Wilson MD,South,Chair,Furniture,183.36,1,0.25,15.34
Fh-0178-981191,2024-04-28,Jacqueline Henderson,South,Paper,Office Supplies,566.4,9,0.32,157.25
eZ-8377-540586,2025-04-13,Shawn Roberts,East,Pen,Office Supplies,811.28,5,0.46,151.54
Bk-2753-381056,2024-09-13,Matthew Shannon,West,Laptop,Technology,883.02,10,0.35,53.57
cq-5315-175690,2021-08-15,Alan Pacheco,Central,Printer,Technology,1028.93,8,0.41,-219.13
Vy-8052-110402,2020-08-03,Tammy Young,Central,Laptop,Technology,1417.93,8,0.42,-281.9
rY-7229-363724,2023-01-24,David Wallace,East,Table,Furniture,1111.11,10,,-142.53
dU-3809-491754,2022-10-09,Christina Hardin,Central,Paper,Office Supplies,247.67,1,0.49,101.62
am-7284-146180,2022-04-24,James Norman DDS,East,Stapler,Office Supplies,926.93,9,0.2,284.65
TU-2360-928284,2023-03-24,,South,Phone,Technology,1101.75,7,0.04,369.66
aT-7048-904641,2025-01-29,Erik Martinez,East,Bookcase,Furniture,1691.98,7,0.01,-142.7
Ow-1722-454798,2022-12-05,Dr. Kathryn Austin MD,Central,Table,Furniture,1306.66,1,0.47,328.4
eD-2216-154830,2023-02-28,Kimberly Hendricks,South,Table,Furniture,1211.71,3,,475.27
iT-2238-165384,2022-08-06,Aaron Herman,Central,Paper,Office Supplies,1119.81,1,0.05,233.82
JP-2914-657942,2023-06-28,Julia Torres,West,Phone,Technology,167.86,1,0.3,67.04
Ax-2200-413051,2021-01-21,Katie Bailey,South,Table,Furniture,1023.28,7,0.39,-131.22
pZ-9882-570054,2021-12-05,Melinda Fowler,Central,Desk,Furniture,1129.68,7,0.22,-72.33
IH-5765-813778,2020-09-08,Kimberly Johnson,Central,Laptop,Technology,947.87,7,0.08,256.92
vS-8593-083159,2025-02-26,Tyrone Robbins,South,Label,Office Supplies,201.72,8,0.08,47.65
lr-6368-490068,2023-09-09,Danny Sanchez,Central,Paper,Office Supplies,1676.4,4,0.11,140.74
uZ-2583-216451,2024-09-13,Steven Williams,South,Printer,Technology,1255.51,8,,161.41
mm-3785-229474,2020-11-06,Adrienne Banks,East,Bookcase,Furniture,,3,0.07,0.0
nc-9427-652178,2023-07-15,Tammy Hanson,West,Chair,Furniture,35.5,1,0.49,4.85
da-6341-713177,2024-03-01,Kimberly Craig,East,Label,Office Supplies,226.06,1,0.32,32.95
yf-4965-269306,2024-10-19,Vanessa Jenkins,West,Laptop,Technology,,8,0.45,0.0
jM-6078-538034,2021-03-17,Alyssa Mccarty,East,Monitor,Technology,18.73,2,0.24,-4.64
gj-6963-297468,2024-03-10,Shannon Parker,West,Chair,Furniture,736.69,9,0.09,-151.35
KR-4257-624797,2021-01-24,Jeffery Skinner,Central,Monitor,Technology,1387.7,8,0.45,-173.72
wz-2788-423588,2023-09-20,Caitlyn Horn,South,Laptop,Technology,472.98,3,0.11,138.14
pQ-8382-870574,2022-05-19,Justin Johnson,South,Chair,Furniture,157.92,10,0.11,62.52
YZ-2932-945953,2022-01-11,Christopher Proctor,West,Bookcase,Furniture,1763.63,5,0.32,672.24
CP-0866-394630,2023-11-11,Thomas Hull,South,Paper,Office Supplies,,1,0.41,0.0
PQ-4489-855666,2024-06-11,George Carter,Central,Chair,Furniture,290.89,5,0.08,-35.33
YE-9727-197054,2022-11-23,Cheryl Robinson,East,Monitor,Technology,1285.69,6,0.42,416.24
pY-5147-607749,2021-03-22,Scott Salas,South,Stapler,Office Supplies,522.53,4,,132.61
kT-8614-124754,2022-10-08,Diana Smith MD,Central,Paper,Office Supplies,1476.06,9,0.36,-263.2
SC-1042-006619,2022-06-06,Rebecca Hood,East,Table,Furniture,661.82,2,0.2,321.56
cl-7062-644355,2020-12-20,Kayla Hughes,West,Phone,Technology,82.55,7,0.16,10.41
ze-8222-147183,2023-10-19,Doris Lucas,South,Bookcase,Furniture,1595.76,8,0.06,-204.61
mI-8129-473015,2020-12-29,Melissa Andrews,West,Printer,Technology,168.62,4,0.46,25.12
ha-8084-772232,2024-01-29,Kristina Moore,Central,Printer,Technology,,5,0.45,0.0
ms-5012-306831,2022-07-25,Laurie Hernandez,East,Phone,Technology,1364.96,1,0.12,448.92
IL-7197-916641,2024-05-27,Lisa Massey,East,Laptop,Technology,539.07,2,0.47,61.84
Bz-9643-300225,2023-04-06,Daisy Paul,West,Pen,Office Supplies,1007.44,4,0.43,-154.69
Ca-1765-323926,2022-03-28,Christina King,Central,Table,Furniture,271.9,2,0.02,-76.6
xR-2374-037985,2022-09-22,John Perez,East,Phone,Technology,232.0,8,,86.63
sx-7328-529214,2022-03-29,Clarence Scott,West,Pen,Office Supplies,1126.2,1,0.37,-271.04
Wx-2099-380413,2022-05-29,,South,Pen,Office Supplies,791.16,1,0.33,385.07
HV-8693-561993,2020-10-12,Michael Johnson,East,Monitor,Technology,1270.19,5,0.5,-75.71
ns-1481-740390,2024-08-17,Tyler Haley,South,Monitor,Technology,857.64,3,0.22,365.08
ji-9592-613624,2021-05-03,Nancy Webb,East,Pen,Office Supplies,259.37,7,0.45,66.75
Py-6735-529417,2022-02-12,Alicia Webb,South,Laptop,Technology,77.05,10,0.02,7.68
zd-5880-472528,2023-08-20,Jacob Rowe,South,Monitor,Technology,800.23,10,0.24,399.84
RL-9606-895247,2022-07-14,Elizabeth Griffin,Central,Pen,Office Supplies,1851.39,4,0.14,561.3
Ia-0612-356419,2025-02-22,Tina Miller,Central,Pen,Office Supplies,1018.15,3,0.21,63.2
xu-6044-811395,2025-02-03,Erica Bauer,East,Bookcase,Furniture,1854.8,3,0.47,383.88
cV-0405-172292,2023-05-05,Nancy Lane,West,Pen,Office Supplies,1122.14,5,0.32,-311.54
bQ-9879-630083,2021-10-10,Christine Nichols,East,Laptop,Technology,322.88,3,0.26,103.98
eV-9364-936538,2023-12-07,Holly Taylor,East,Stapler,Office Supplies,289.72,4,0.12,-75.96
Fg-5282-279707,2021-07-10,Mary Bryant,East,Bookcase,Furniture,302.67,2,0.32,57.59
UT-7932-996448,2020-10-09,Sara Valdez,East,Phone,Technology,1580.92,8,0.36,-206.48
bL-0434-829090,2020-10-17,April Taylor,East,Label,Office Supplies,1460.97,6,0.32,-316.78
oO-0475-447947,2024-06-16,Christopher Kim,South,Table,Furniture,934.19,4,0.18,338.85
gl-6176-920102,2022-07-15,Amber Bryant,West,Label,Office Supplies,741.55,9,0.02,146.78
LO-4040-038976,2020-05-29,Edgar Tyler,Central,Phone,Technology,1880.74,10,0.01,898.91
qP-9545-227349,2022-06-26,,West,Pen,Office Supplies,745.44,4,0.04,136.97
HO-0755-189100,2024-10-30,Andrew Hall,Central,Paper,Office Supplies,1699.73,7,0.05,156.38
NP-1088-954824,2024-08-18,Robert Keller,Central,Table,Furniture,235.84,4,0.22,-58.65
km-6821-373495,2021-10-31,Clinton Young,Central,Label,Office Supplies,1059.56,3,0.13,231.95
wZ-1668-434109,2021-02-01,Michael Henderson,South,Bookcase,Furniture,760.77,4,0.31,310.07
DI-9245-828187,2020-06-16,Melissa Wilson,West,Paper,Office Supplies,431.66,7,0.4,-41.62
iA-5120-484650,2020-07-13,Julie Bennett,South,Laptop,Technology,725.4,5,0.02,-157.91
kF-9219-516583,2020-12-23,Taylor Wright,East,Laptop,Technology,1102.31,5,0.32,400.37
nQ-0021-897785,2021-07-20,Jessica Young,West,Pen,Office Supplies,1695.19,8,0.12,710.28
RX-0175-314634,2021-11-12,Danny Barnett,East,Chair,Furniture,1491.72,5,0.18,575.17
rj-8732-900129,2025-01-04,Brad Thompson,East,Table,Furniture,645.02,10,0.13,109.35
fq-5727-717853,2023-10-08,,East,Monitor,Technology,772.85,7,0.43,136.8
Zu-0902-210007,2022-10-20,Adam Ortiz,South,Phone,Technology,1750.84,2,0.35,815.0
yp-9359-935654,2021-06-30,Melissa Abbott,South,Phone,Technology,837.48,1,0.3,-163.81
FX-5382-905561,2023-09-25,,East,Label,Office Supplies,1154.54,2,0.28,572.2
MW-4269-583379,2022-06-17,Elizabeth Griffin,Central,Bookcase,Furniture,1677.38,2,,60.27
BA-8584-809269,2023-08-29,Curtis Compton,East,Paper,Office Supplies,124.04,7,0.2,-28.07
bI-4381-108013,2025-04-14,Steven Love,Central,Paper,Office Supplies,1431.9,9,,39.1
Pq-2524-116766,2021-02-20,Sandra Gilbert MD,East,Printer,Technology,1588.82,7,0.21,410.49
ln-5447-995304,2024-09-04,Michelle Thomas,South,Chair,Furniture,551.08,2,0.29,-54.27
